startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel 360/390A2
64.6891304348,97.0336956522,0.4570796864,97.0336956522,0.4570780722,507,0,0,390,97.0336956522,0,0,,,,
49.852173913,74.7782608696,0.4563274982,74.7782608696,0.456325884,507,0,0,390,74.7782608696,0,0,,,,
61.7217391304,92.5826086957,0.4555297228,92.5826086957,0.4555281086,507,0,0,390,92.5826086957,0,0,,,,
82.4934782609,123.7402173913,0.4557804522,123.7402173913,0.455778838,507,0,0,390,123.7402173913,0,0,,,,
89.0217391304,133.5326086957,0.4560767688,133.5326086957,0.4560751546,507,0,0,390,133.5326086957,0,0,,,,
86.647826087,129.9717391304,0.456008388,129.9717391304,0.4560067738,507,0,0,390,129.9717391304,0,0,,,,
107.4195652174,161.1293478261,0.4566921955,161.1293478261,0.4566905813,507,0,0,390,161.1293478261,0,0,,,,
84.8673913043,127.3010869565,0.4564414661,127.3010869565,0.4564398519,507,0,0,390,127.3010869565,0,0,,,,
87.8347826087,131.752173913,0.4557120715,131.752173913,0.4557104573,507,0,0,390,131.752173913,0,0,,,,
65.8760869565,98.8141304348,0.4549142961,98.8141304348,0.4549126819,507,0,0,390,98.8141304348,0,0,,,,
98.5173913043,147.7760869565,0.4556208972,147.7760869565,0.455619283,507,0,0,390,147.7760869565,0,0,,,,
95.55,143.325,0.4559855945,143.325,0.4559839803,507,0,0,390,143.325,0,0,,,,
87.8347826087,131.752173913,0.456555434,131.752173913,0.4565538198,507,0,0,390,131.752173913,0,0,,,,
72.997826087,109.4967391304,0.4571708607,109.4967391304,0.4571692465,507,0,0,390,109.4967391304,0,0,,,,
86.0543478261,129.0815217391,0.4584017141,129.0815217391,0.4584000999,507,0,0,390,129.0815217391,0,0,,,,
98.5173913043,147.7760869565,0.4604987236,147.7760869565,0.4604971094,507,0,0,390,147.7760869565,0,0,,,,
91.9891304348,137.9836956522,0.463142779,137.9836956522,0.4631411648,507,0,0,390,137.9836956522,0,0,,,,
75.9652173913,113.947826087,0.4640317287,113.947826087,0.4640301145,507,0,0,390,113.947826087,0,0,,,,
82.4934782609,123.7402173913,0.4653993435,123.7402173913,0.4653977293,507,0,0,390,123.7402173913,0,0,,,,
100.8913043478,151.3369565217,0.4682257476,151.3369565217,0.4682241334,507,0,0,390,151.3369565217,0,0,,,,
91.3956521739,137.0934782609,0.4705734865,137.0934782609,0.4705718723,507,0,0,390,137.0934782609,0,0,,,,
54.0065217391,81.0097826087,0.4710521517,81.0097826087,0.4710505375,507,0,0,390,81.0097826087,0,0,,,,
0,0,0.469456601,0,0.4694549868,507,0,0,390,0,0,0,,,,
0,0,0.4680661926,0,0.4680645784,507,0,0,390,0,0,0,,,,
0,0,0.4664022611,0,0.4664006469,507,0,0,390,0,0,0,,,,
0,0,0.4641912837,0,0.4641896695,507,0,0,390,0,0,0,,,,
1.1869565217,1.7804347826,0.4623905908,1.7804347826,0.4623889766,507,0,0,390,1.7804347826,0,0,,,,
0,0,0.4612964989,0,0.4612948847,507,0,0,390,0,0,0,,,,
